"Handle","URL","Current Title","Current Description (first 200 chars)","Current Meta Description","Has JSON-LD","JSON-LD Type","Has Brand in JSON-LD","Has Reviews in JSON-LD","Has Offers in JSON-LD","Tag Count","Variant Count","Image Count","Recommended Title","Recommended Meta Description","Optimization Notes"
"recess-7in-unlined-short-3","https://tascperformance.com/products/recess-7in-unlined-short-3","Recess 7in Unlined Short","Allow us to reintroduce ourselves - meet the newly updated Recess 7in Unlined Short. Sometimes less is more. We've made this style for those who prefer a lightweight, no-fuss, unlined short for high-i","The Recess Shorts Dark Alloy are made to run, train, stretch, and beyond. Built-in liner phone pocket and bonus side zip pocket.","Yes","Product","Yes","No","Yes","23","5","6","","","Add reviews/ratings to JSON-LD; Title may be too short"
"recess-7in-2-in-1-short-8","https://tascperformance.com/products/recess-7in-2-in-1-short-8","Recess 7in 2-in-1 Short","The Recess 7"" 2-in-1 Shorts are made to do it all. Run, train, stretch, and beyond - the Recess short can tackle your toughest workouts with its essential design features. Keep your valuables safe wit","The Recess Shorts Dark Alloy are made to run, train, stretch, and beyond. Built-in liner phone pocket, bonus side zip pocket, buttery soft bamboo liner.","Yes","Product","Yes","No","Yes","22","5","5","","","Add reviews/ratings to JSON-LD; Title may be too short"
"newport-soft-quilt-pullover","https://tascperformance.com/products/newport-soft-quilt-pullover","Newport Soft Quilt Pullover","Elevate your outerwear game. The Newport Quilted Jacket is the perfect blend of style and performance. Its lightweight, quilted design offers superior warmth and comfort, while its four-way stretch en","Elevate your outerwear game. The Newport Quilted Jacket is the perfect blend of style and performance. Its lightweight, quilted design offers superior warmth and comfort, while its four-way stretch ensures maximum mobility. Pair it with our Motion Pant or Montrose Pant for a sleek, sophisticated look that's perfect for","Yes","Product","Yes","No","Yes","24","5","3","","","Add reviews/ratings to JSON-LD; Title may be too short"
"newport-soft-quilt-pullover-1","https://tascperformance.com/products/newport-soft-quilt-pullover-1","Newport Soft Quilt Pullover","Elevate your outerwear game. The Newport Quilted Jacket is the perfect blend of style and performance. Its lightweight, quilted design offers superior warmth and comfort, while its four-way stretch en","Elevate your outerwear game. The Newport Quilted Jacket is the perfect blend of style and performance. Its lightweight, quilted design offers superior warmth and comfort, while its four-way stretch ensures maximum mobility. Pair it with our Motion Pant or Montrose Pant for a sleek, sophisticated look that's perfect for","Yes","Product","Yes","No","Yes","26","5","5","","","Add reviews/ratings to JSON-LD; Title may be too short"
"cloud-polo-14","https://tascperformance.com/products/cloud-polo-14","Cloud Polo","Our Men's Cloud Golf Polo utilizes ultra-fine fibers to combat pain points of the modern performance polo for a wearing experience like no other. Say goodbye to your average polo and turn heads at all","Our Men's Cloud Golf Polo Iceberg Heather utilizes ultra-fine fibers to create a lightweight, moisture-wicking, and odor-resistant golf polo.","Yes","Product","Yes","No","Yes","25","5","5","","","Add reviews/ratings to JSON-LD; Title may be too short"
"cloud-polo-brookline-stripe-12","https://tascperformance.com/products/cloud-polo-brookline-stripe-12","Cloud Polo - Brookline Stripe","Our Men's Cloud Golf Polo utilizes ultra-fine fibers to combat pain points of the modern performance polo for a wearing experience like no other. Say goodbye to your average polo and turn heads at all","Our Men's Cloud Golf Polo Blue Brookline Stripe utilizes ultra-fine fibers to create a lightweight, moisture-wicking, and odor-resistant golf polo.","Yes","Product","Yes","No","Yes","25","5","5","","","Add reviews/ratings to JSON-LD; Title may be too short"
"all-day-tank-7","https://tascperformance.com/products/all-day-tank-7","All Day Tank","One of our best sellers now as a tank, the brand-new All-Day Tank is ready to take on the day. This style effortlessly combines comfort and performance and is crafted from our super soft signature bam","One of our best sellers now as a tank, the brand-new All-Day Tank is ready to take on the day. This style effortlessly combines comfort and performance and is crafted from our super soft signature bamboo fabric. It offers a relaxed fit with a little more coverage to move with you all day long. #TW1020","Yes","Product","Yes","No","Yes","26","5","5","","","Add reviews/ratings to JSON-LD; Title may be too short"
"carrollton-lightweight-quarter-zip-15","https://tascperformance.com/products/carrollton-lightweight-quarter-zip-15","Carrollton Lightweight Quarter Zip","Made from a fabric that is optimized for any activity, the Carrollton Lightweight Quarter Zip performs exceptionally. This lightweight layer is made to transition from season to season and activity to","The Carrollton Quarter Zip: Geyser Heather. Made to transition from season to season. Moisture wicking, breathable, anti-odor, and comfortable.","Yes","Product","Yes","No","Yes","26","5","4","","","Add reviews/ratings to JSON-LD"
"carrollton-long-sleeve-fitness-t-shirt-13","https://tascperformance.com/products/carrollton-long-sleeve-fitness-t-shirt-13","Carrollton Long Sleeve Fitness T-Shirt","When you work hard, your clothing should too. Meet the Carrollton Long Sleeve Fitness T-Shirt, a long-sleeve version of our best-selling crew neck. Just like its short-sleeved predecessor, this style ","Our Carrollton Fitness T-Shirt Geyser Heather is made from bamboo and organic cotton, a performance tee that is temperature regulating and versatile.","Yes","Product","Yes","No","Yes","26","5","6","","","Add reviews/ratings to JSON-LD"
"carrollton-lightweight-hoodie-jaspe","https://tascperformance.com/products/carrollton-lightweight-hoodie-jaspe","Carrollton Lightweight Hoodie - Jaspe","If you're looking for the best lightweight hoodie for men, look no further. Introducing the Men's Carrollton Lightweight Hoodie. With a functional hood, thumbholes, and long sleeves, this lightweight ","If you're looking for the best lightweight hoodie for men, look no further. Introducing the Men's Carrollton Lightweight Hoodie: Arctic Jaspe.","Yes","Product","Yes","No","Yes","28","5","6","","","Add reviews/ratings to JSON-LD"
"carrollton-fitness-t-shirt-jaspe","https://tascperformance.com/products/carrollton-fitness-t-shirt-jaspe","Carrollton Fitness T-Shirt - Jaspe","Our Carrollton Fitness T-Shirt is about performance powered by nature. This T- Shirt is made from bamboo and organic cotton, a performance tee that is temperature regulating and versatile. It can with","Our Carrollton Fitness T-Shirt Arctic Jaspe is made from bamboo and organic cotton, a performance tee that is temperature regulating and versatile.","Yes","Product","Yes","No","Yes","25","5","6","","","Add reviews/ratings to JSON-LD"
"all-day-tank-8","https://tascperformance.com/products/all-day-tank-8","All Day Tank","One of our best sellers now as a tank, the brand-new All-Day Tank is ready to take on the day. This style effortlessly combines comfort and performance and is crafted from our super soft signature bam","One of our best sellers now as a tank, the brand-new All-Day Tank is ready to take on the day. This style effortlessly combines comfort and performance and is crafted from our super soft signature bamboo fabric. It offers a relaxed fit with a little more coverage to move with you all day long. #TW1020","Yes","Product","Yes","No","Yes","23","5","5","","","Add reviews/ratings to JSON-LD; Title may be too short"
"all-day-long-sleeve-t-shirt-2","https://tascperformance.com/products/all-day-long-sleeve-t-shirt-2","All Day Long Sleeve T-Shirt","By popular request, meet the All Day Long Sleeve T-Shirt! Everything that makes our All Day Short Sleeve T-Shirt a fan-favorite is now available in a long sleeve silhouette. It's the perfect everyday ","By popular request, meet the All Day Long Sleeve T-Shirt! Everything that makes our All Day Short Sleeve T-Shirt a fan-favorite is now available in a long sleeve silhouette. It's the perfect everyday essential your closet needs, made for movement, or styling up or down. Durable, unbelievably soft, and tailored for an e","Yes","Product","Yes","No","Yes","23","5","6","","","Add reviews/ratings to JSON-LD; Title may be too short"
"microair-performance-mesh-1-4-zip-3","https://tascperformance.com/products/microair-performance-mesh-1-4-zip-3","MicroAir Performance Mesh 1/4 Zip","Experience ultimate comfort and performance with our lightweight MicroAir Performance Mesh 1/4 Zip. Crafted from ultra-fine beechwood tree silk fibers, this mesh-knit pullover allows for maximum airfl","MicroAir Performance Mesh 1/4 Zip Heather Gray/Arctic. Crafted from ultra-fine beechwood tree silk fibers, allowing for maximum airflow + breathability.","Yes","Product","Yes","No","Yes","26","5","6","","","Add reviews/ratings to JSON-LD"
"microair-performance-mesh-1-4-zip-4","https://tascperformance.com/products/microair-performance-mesh-1-4-zip-4","MicroAir Performance Mesh 1/4 Zip","Experience ultimate comfort and performance with our lightweight MicroAir Performance Mesh 1/4 Zip. Crafted from ultra-fine beechwood tree silk fibers, this mesh-knit pullover allows for maximum airfl","MicroAir Performance Mesh 1/4 Zip Geyser Heather. Crafted from ultra-fine beechwood tree silk fibers, allowing for maximum airflow + breathability.","Yes","Product","Yes","No","Yes","26","5","5","","","Add reviews/ratings to JSON-LD"
"microair-performance-mesh-t-shirt-4","https://tascperformance.com/products/microair-performance-mesh-t-shirt-4","MicroAir Performance Mesh T-Shirt","Experience ultimate comfort and performance with our lightweight MicroAir Performance Mesh T-Shirt. Crafted from ultra-fine beechwood tree silk fibers, this mesh-knit tee creates space between the fab","MicroAir Performance Mesh T-Shirt Heather Gray/Arctic. Crafted from ultra-fine beechwood tree silk fibers, allowing for maximum airflow + breathability.","Yes","Product","Yes","No","Yes","25","5","6","","","Add reviews/ratings to JSON-LD"
"microair-performance-mesh-t-shirt-5","https://tascperformance.com/products/microair-performance-mesh-t-shirt-5","MicroAir Performance Mesh T-Shirt","Experience ultimate comfort and performance with our lightweight MicroAir Performance Mesh T-Shirt. Crafted from ultra-fine beechwood tree silk fibers, this mesh-knit tee creates space between the fab","MicroAir Performance Mesh T-Shirt Geyser Heather. Crafted from ultra-fine beechwood tree silk fibers, allowing for maximum airflow + breathability.","Yes","Product","Yes","No","Yes","25","5","6","","","Add reviews/ratings to JSON-LD"
"cloud-polo-4","https://tascperformance.com/products/cloud-polo-4","Cloud Polo","Our Men's Cloud Golf Polo utilizes ultra-fine fibers to combat pain points of the modern performance polo for a wearing experience like no other. Say goodbye to your average polo and turn heads at all","Our Men's Cloud Golf Polo Geyser Heather utilizes ultra-fine fibers to create a lightweight, moisture-wicking, and odor-resistant golf polo.","Yes","Product","Yes","No","Yes","28","5","3","","","Add reviews/ratings to JSON-LD; Title may be too short"
"cloud-polo-air-stripe-2","https://tascperformance.com/products/cloud-polo-air-stripe-2","Cloud Polo - Air Stripe","Our Men's Cloud Golf Polo utilizes ultra-fine fibers to combat pain points of the modern performance polo for a wearing experience like no other. Say goodbye to your average polo and turn heads at all","Our Men's Cloud Golf Polo Geyser Heather Air Stripe utilizes ultra-fine fibers to create a lightweight, moisture-wicking, and odor-resistant golf polo.","Yes","Product","Yes","No","Yes","26","5","6","","","Add reviews/ratings to JSON-LD; Title may be too short"
