"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / United States","Price / United States","Compare At Price / United States","Included / International","Price / International","Compare At Price / International","Status"
"recess-7in-unlined-short-3","Recess 7in Unlined Short","<p>Allow us to reintroduce ourselves - meet the newly updated Recess 7in Unlined Short. Sometimes less is more. We've made this style for those who prefer a lightweight, no-fuss, unlined short for high-impact workouts. Made from lightweight stretch-woven fabric, our new Weightless 7"" Shorts deliver superior comfort and performance without the bulk. Designed with the same relaxed fit &amp; elastic waistband combo and updated with a reflective side split detail &amp; laser-cut ventilation, these shorts are made to stay out of your way so you can go that extra mile. Style #TM710.</p> <!---->","tasc Performance","","","final sale, finalsale, gender:men, gender:men's, gray, men, mens, mens sale, sale, Sale:Mens, Sale:Shorts, size:L, size:M, size:S, size:XL, size:XXL, Style: Men's Active, tasc, tasc performance, tasc performance collection, tascperformancecorecollection, wintersale, YGroup_recessshort7unlined","TRUE","Size","Dark Alloy","Color","S","","","TM710-0332-S","136","shopify","","deny","manual","48.00","68.00","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/1009/9408/files/Bottom_afa98383-6a36-4362-9dd8-96f018546bc7.jpg?v=1722360024","1","","FALSE","Recess 7in Unlined Short Dark Alloy – tasc Performance","The Recess Shorts Dark Alloy are made to run, train, stretch, and beyond. Built-in liner phone pocket and bonus side zip pocket.","","","","","new","","","","","","","","kg","","","TRUE","","","TRUE","","","active"
"recess-7in-unlined-short-3","","","","","","","","","Dark Alloy","","M","","","TM710-0333-M","136","shopify","","deny","manual","48.00","68.00","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/1009/9408/files/170_Recess5Short_DarkAlloy_CarrolltonT_Black_030_a993f368-b835-4690-8439-fd0845573307.jpg?v=1722360024","2","","","","","","","","","","","","","","","","","kg","","","TRUE","","","TRUE","","",""
"recess-7in-unlined-short-3","","","","","","","","","Dark Alloy","","L","","","TM710-0334-L","136","shopify","","deny","manual","48.00","68.00","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/1009/9408/files/170_Recess5Short_DarkAlloy_CarrolltonT_Black_042_36947436-13ee-478f-9046-eb679ff762d2.jpg?v=1722360024","3","","","","","","","","","","","","","","","","","kg","","","TRUE","","","TRUE","","",""
"recess-7in-unlined-short-3","","","","","","","","","Dark Alloy","","XL","","","TM710-0335-XL","136","shopify","","deny","manual","48.00","68.00","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/1009/9408/files/detail_efc5c73b-43dc-4e28-a3d0-38048cbfb73c.jpg?v=1722360023","4","","","","","","","","","","","","","","","","","kg","","","TRUE","","","TRUE","","",""
"recess-7in-unlined-short-3","","","","","","","","","Dark Alloy","","XXL","","","TM710-0336-XXL","136","shopify","","deny","manual","48.00","68.00","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/1009/9408/files/FullBody_5e2ed3c0-7c72-4c93-b8db-6c6e0b8e6ba4.jpg?v=1722360023","5","","","","","","","","","","","","","","","","","kg","","","TRUE","","","TRUE","","",""
"recess-7in-unlined-short-3","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/1009/9408/files/Recess5in7in1TechShort_DarkAlloy_TM772-033_c02bd5a5-1f66-4462-a1a5-7f4c7fc5edf6.jpg?v=1741972685","6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"recess-7in-2-in-1-short-8","Recess 7in 2-in-1 Short","<p data-mce-fragment=""1"">The Recess 7"" 2-in-1 Shorts are made to do it all.  Run, train, stretch, and beyond - the Recess short can tackle your toughest workouts with its essential design features.  Keep your valuables safe with our built-in liner phone pocket and bonus side zip pocket. It’s also got a buttery soft bamboo liner that feels like a second skin and offers you support in all the right places. </p> <p data-mce-fragment=""1"">Style #TM770P.</p> <!---->","tasc Performance","","","final sale, finalsale, gender:men, gender:men's, men, mens, mens sale, sale, Sale:Mens, Sale:Shorts, size:L, size:M, size:S, size:XL, size:XXL, Style: Men's Active, tasc, tasc performance, tasc performance collection, tascperformancecorecollection, wintersale, YGroup_recessshort7lined","TRUE","Size","Dark Alloy","Color","S","","","TM770-0332-S","204","shopify","","deny","manual","48.00","68.00","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/1009/9408/files/Bottom_2_b3f3ee21-7d83-460a-8462-f4d050fe632c.jpg?v=1722367820","1","","FALSE","Recess 7in 2-in-1 Short Dark Alloy – tasc Performance","The Recess Shorts Dark Alloy are made to run, train, stretch, and beyond. Built-in liner phone pocket, bonus side zip pocket, buttery soft bamboo liner.","","","","","new","","","","","","","","kg","","","TRUE","","","TRUE","","","active"
"recess-7in-2-in-1-short-8","","","","","","","","","Dark Alloy","","M","","","TM770-0333-M","204","shopify","","deny","manual","48.00","68.00","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/1009/9408/files/Bottom_1_c2111155-083a-4f58-9fd1-555a227ee878.jpg?v=1722367820","2","","","","","","","","","","","","","","","","","kg","","","TRUE","","","TRUE","","",""
"recess-7in-2-in-1-short-8","","","","","","","","","Dark Alloy","","L","","","TM770-0334-L","204","shopify","","deny","manual","48.00","68.00","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/1009/9408/files/Bottom_ba5c39b5-14a7-4a9a-976f-9f9f476ac569.jpg?v=1722367820","3","","","","","","","","","","","","","","","","","kg","","","TRUE","","","TRUE","","",""
"recess-7in-2-in-1-short-8","","","","","","","","","Dark Alloy","","XL","","","TM770-0335-XL","204","shopify","","deny","manual","48.00","68.00","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/1009/9408/files/Detail_eb13aff3-ff6d-420e-bca5-c6e155d59a2f.jpg?v=1722367820","4","","","","","","","","","","","","","","","","","kg","","","TRUE","","","TRUE","","",""
"recess-7in-2-in-1-short-8","","","","","","","","","Dark Alloy","","XXL","","","TM770-0336-XXL","204","shopify","","deny","manual","48.00","68.00","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/1009/9408/files/FB_75b2b172-6486-4eb9-873e-ad7b937d0b38.jpg?v=1722367819","5","","","","","","","","","","","","","","","","","kg","","","TRUE","","","TRUE","","",""
